id,source_geometry,constructor,metric,representation,status,evidence,space_equivalence
G33,Affine subspace,manifold.affine,euclidean,ambient vector with orthonormal basis and offset,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,distinct metric/space family or parameterized construction
G34,Full orthogonal group,manifold.orthogonal,euclidean,square frame; both determinant signs,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,G10 (square case)
G35,Positive doubly stochastic,manifold.doublystochastic,fisher,positive matrix with row/column sums one,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,distinct metric/space family or parameterized construction
G36,Compact fixed rank,manifold.fixedrank,embedded,U S V transpose; full invertible small core; separate tangent factors,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,G20
G37,Complex Euclidean,manifold.euclidean,real_hermitian,complex tensor,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,G01 (twice real dimension)
G38,Complex sphere,manifold.sphere,round real_hermitian,unit complex vector,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,G02 (twice ambient dimension)
G39,Complex circle,manifold.complexcircle,real_hermitian,unit-modulus complex vector,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,G08
G40,Complex Stiefel,manifold.stiefel,real_hermitian,complex orthonormal frame,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,distinct metric/space family or parameterized construction
G41,Complex Grassmann,manifold.grassmann,real_hermitian,complex quotient frame,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,distinct metric/space family or parameterized construction
G42,Unitary group,manifold.unitary,real_hermitian,square complex frame,verified,test-smooth-upgrade; test-training-complex-upgrade; test-upgrade-stress,G40 (square case)
